Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Treatment_Profile
45+,Dry,Extreme Dry,Yes,Dark Spots,General,Niacinamide + Kojic Acid + Licorice Extract,5% + 1% + 2%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone","Niacinamide(5%) + Kojic Acid(1%) + Licorice Extract(2%) -> Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
45+,Dry,Extreme Dry,Yes,Dullness,General,Vitamin C + Niacinamide + Hyaluronic Acid,10% + 5% + 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin","Vitamin C(10%) + Niacinamide(5%) + Hyaluronic Acid(1%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,10% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation","Vitamin C(10%) + Niacinamide(5%) + Tranexamic Acid(2%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
45+,Dry,Extreme Dry,Yes,Open Pores,General,Green Tea Extract + Salicylic Acid + Azelaic Acid,3% + 2% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","Green Tea Extract(3%) + Salicylic Acid(2%) + Azelaic Acid(10%) -> Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Dry,Extreme Dry,Yes,Redness,General,Niacinamide + Centella Asiatica + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Centella Asiatica(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits"
45+,Dry,Extreme Dry,Yes,Sun Tan,General,Alpha Arbutin + Aloe Vera + Niacinamide,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Aloe Vera(5%) + Niacinamide(1%) -> Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
45+,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Zinc PCA + Niacinamide + Salicylic Acid,5% + 2% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","Zinc PCA(5%) + Niacinamide(2%) + Salicylic Acid(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Dry,Extreme Dry,Yes,Wrinkles,General,Niacinamide + Coenzyme Q10 + Retinol,5% + 0.1% + 1%,"Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles","Niacinamide(5%) + Coenzyme Q10(0.1%) + Retinol(1%) -> Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
45+,Dry,Extreme Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,10% + 2.5% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria","Zinc PCA(10%) + Azelaic Acid(2.5%) + Benzoyl Peroxide(1%) -> Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria"
45+,Dry,Extreme Dry,No,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Zinc PCA,5% + 2.5% + 1%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production","Niacinamide(5%) + Benzoyl Peroxide(2.5%) + Zinc PCA(1%) -> Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production"
45+,Dry,Extreme Dry,No,Acne,Fungal,Zinc PCA + Salicylic Acid + Niacinamide,2% + 5% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Zinc PCA(2%) + Salicylic Acid(5%) + Niacinamide(1%) -> Controls sebum production, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Dry,Extreme Dry,No,Acne,Cystic,Niacinamide + Salicylic Acid + Green Tea Extract,5% + 2% + 3%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Salicylic Acid(2%) + Green Tea Extract(3%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
45+,Dry,Extreme Dry,No,Dark Circles,Pigmented,Caffeine + Caffeine + Vitamin C,3% + 3% + 10%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation","Caffeine(3%) + Caffeine(3%) + Vitamin C(10%) -> Improves blood circulation under eyes, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
45+,Dry,Extreme Dry,No,Dark Circles,Vascular,Caffeine + Niacinamide + Hyaluronic Acid,3% + 5% + 1%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Hydrates and plumps the skin","Caffeine(3%) + Niacinamide(5%) + Hyaluronic Acid(1%) -> Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Dry,Extreme Dry,No,Dark Spots,General,Alpha Arbutin + Niacinamide + Kojic Acid,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration","Alpha Arbutin(2%) + Niacinamide(5%) + Kojic Acid(1%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration"
45+,Dry,Extreme Dry,No,Dullness,General,Vitamin C + Green Tea Extract + Lactic Acid,10% + 3% + 1%,"Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance","Vitamin C(10%) + Green Tea Extract(3%) + Lactic Acid(1%) -> Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
45+,Dry,Extreme Dry,No,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Vitamin C,2% + 2% + 10%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation","Alpha Arbutin(2%) + Tranexamic Acid(2%) + Vitamin C(10%) -> Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
45+,Dry,Extreme Dry,No,Open Pores,General,Azelaic Acid + Salicylic Acid + Clay,10% + 2% + 1%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores","Azelaic Acid(10%) + Salicylic Acid(2%) + Clay(1%) -> Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores"
45+,Dry,Extreme Dry,No,Redness,General,Aloe Vera + Green Tea Extract + Centella Asiatica,3% + 1% + 1%,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier","Aloe Vera(3%) + Green Tea Extract(1%) + Centella Asiatica(1%) -> Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier"
45+,Dry,Extreme Dry,No,Sun Tan,General,Alpha Arbutin + Niacinamide + Licorice Extract,2% + 5% + 2%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone","Alpha Arbutin(2%) + Niacinamide(5%) + Licorice Extract(2%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
45+,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Salicylic Acid + Zinc PCA + Glycolic Acid,2% + 1% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin","Salicylic Acid(2%) + Zinc PCA(1%) + Glycolic Acid(1%) -> Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin"
45+,Dry,Extreme Dry,No,Wrinkles,General,Peptides + Coenzyme Q10 + Hyaluronic Acid,1% + 1% + 1%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin","Peptides(1%) + Coenzyme Q10(1%) + Hyaluronic Acid(1%) -> Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin"
45+,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Green Tea Extract,10% + 2% + 3%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","Azelaic Acid(10%) + Salicylic Acid(2%) + Green Tea Extract(3%) -> Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
45+,Oily,Oily to Normal,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Benzoyl Peroxide,2% + 2.5% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Zinc PCA(2%) + Salicylic Acid(2.5%) + Benzoyl Peroxide(1%) -> Controls sebum production, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
45+,Oily,Oily to Normal,Yes,Acne,Fungal,Zinc PCA + Niacinamide + Azelaic Acid,5% + 10% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Zinc PCA(5%) + Niacinamide(10%) + Azelaic Acid(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
45+,Oily,Oily to Normal,Yes,Acne,Cystic,Green Tea Extract + Niacinamide + Azelaic Acid,3% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Green Tea Extract(3%) + Niacinamide(5%) + Azelaic Acid(10%) -> Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
45+,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Vitamin C + Caffeine + Licorice Extract,10% + 3% + 2%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone","Vitamin C(10%) + Caffeine(3%) + Licorice Extract(2%) -> Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
45+,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Caffeine + Caffeine + Hyaluronic Acid,3% + 3% + 1%,"Reduces puffiness and improves circulation, Improves blood circulation under eyes, Hydrates and plumps the skin","Caffeine(3%) + Caffeine(3%) + Hyaluronic Acid(1%) -> Reduces puffiness and improves circulation, Improves blood circulation under eyes, Hydrates and plumps the skin"
45+,Oily,Oily to Normal,Yes,Dark Spots,General,Niacinamide + Kojic Acid + Alpha Arbutin,5% + 1% + 2%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots","Niacinamide(5%) + Kojic Acid(1%) + Alpha Arbutin(2%) -> Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots"
45+,Oily,Oily to Normal,Yes,Dullness,General,Niacinamide + Hyaluronic Acid + Vitamin C,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Niacinamide(5%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
45+,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Niacinamide + Alpha Arbutin + Tranexamic Acid,5% + 2% + 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation","Niacinamide(5%) + Alpha Arbutin(2%) + Tranexamic Acid(2%) -> Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation"
45+,Oily,Oily to Normal,Yes,Open Pores,General,Green Tea Extract + Azelaic Acid + Salicylic Acid,3% + 10% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","Green Tea Extract(3%) + Azelaic Acid(10%) + Salicylic Acid(2%) -> Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
45+,Oily,Oily to Normal,Yes,Redness,General,Centella Asiatica + Green Tea Extract + Chamomile Extract,3% + 1% + 1%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation","Centella Asiatica(3%) + Green Tea Extract(1%) + Chamomile Extract(1%) -> Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
45+,Oily,Oily to Normal,Yes,Sun Tan,General,Licorice Extract + Niacinamide + Alpha Arbutin,2% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots","Licorice Extract(2%) + Niacinamide(5%) + Alpha Arbutin(2%) -> Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
45+,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Niacinamide + Salicylic Acid,5% + 2% + 1%,"Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","Willow Bark Extract(5%) + Niacinamide(2%) + Salicylic Acid(1%) -> Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Oily,Oily to Normal,Yes,Wrinkles,General,Retinol + Hyaluronic Acid + Niacinamide,0.1% + 1% + 5%,"Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Retinol(0.1%) + Hyaluronic Acid(1%) + Niacinamide(5%) -> Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
45+,Oily,Oily to Normal,No,Acne,Comedonal,Niacinamide + Green Tea Extract + Azelaic Acid,5% + 3% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","Niacinamide(5%) + Green Tea Extract(3%) + Azelaic Acid(10%) -> Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
45+,Oily,Oily to Normal,No,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Salicylic Acid,10% + 2.5% + 2%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil","Azelaic Acid(10%) + Benzoyl Peroxide(2.5%) + Salicylic Acid(2%) -> Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
45+,Oily,Oily to Normal,No,Acne,Fungal,Niacinamide + Azelaic Acid + Green Tea Extract,5% + 10% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Azelaic Acid(10%) + Green Tea Extract(3%) -> Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
45+,Oily,Oily to Normal,No,Acne,Cystic,Salicylic Acid + Benzoyl Peroxide + Azelaic Acid,2% + 2.5% + 10%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Reduces acne and improves skin texture","Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Kills acne-causing bacteria, Reduces acne and improves skin texture"
45+,Oily,Oily to Normal,No,Dark Circles,Pigmented,Vitamin C + Hyaluronic Acid + Niacinamide,10% + 1% + 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Vitamin C(10%) + Hyaluronic Acid(1%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
45+,Oily,Oily to Normal,No,Dark Circles,Vascular,Caffeine + Hyaluronic Acid + Vitamin C,3% + 1% + 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Caffeine(3%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
45+,Oily,Oily to Normal,No,Dark Spots,General,Vitamin C + Kojic Acid + Licorice Extract,10% + 1% + 2%,"Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone","Vitamin C(10%) + Kojic Acid(1%) + Licorice Extract(2%) -> Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
45+,Oily,Oily to Normal,No,Dullness,General,Niacinamide + Hyaluronic Acid + Green Tea Extract,5% + 1% + 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Hyaluronic Acid(1%) + Green Tea Extract(3%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits"
45+,Oily,Oily to Normal,No,Hyperpigmentation,General,Tranexamic Acid + Alpha Arbutin + Licorice Extract,2% + 2% + 2%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone","Tranexamic Acid(2%) + Alpha Arbutin(2%) + Licorice Extract(2%) -> Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
45+,Oily,Oily to Normal,No,Open Pores,General,Azelaic Acid + Niacinamide + Clay,10% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores","Azelaic Acid(10%) + Niacinamide(5%) + Clay(1%) -> Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores"
45+,Oily,Oily to Normal,No,Redness,General,Chamomile Extract + Aloe Vera + Centella Asiatica,1% + 1% + 1%,"Calms redness and irritation, Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier","Chamomile Extract(1%) + Aloe Vera(1%) + Centella Asiatica(1%) -> Calms redness and irritation, Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier"
45+,Oily,Oily to Normal,No,Sun Tan,General,Alpha Arbutin + Niacinamide + Aloe Vera,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin","Alpha Arbutin(2%) + Niacinamide(5%) + Aloe Vera(1%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Salicylic Acid + Glycolic Acid + Willow Bark Extract,2% + 1% + 1%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores","Salicylic Acid(2%) + Glycolic Acid(1%) + Willow Bark Extract(1%) -> Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores"
45+,Oily,Oily to Normal,No,Wrinkles,General,Retinol + Peptides + Hyaluronic Acid,0.1% + 1% + 1%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin","Retinol(0.1%) + Peptides(1%) + Hyaluronic Acid(1%) -> Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
45+,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Zinc PCA,2% + 5% + 1%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production","Salicylic Acid(2%) + Niacinamide(5%) + Zinc PCA(1%) -> Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production"
45+,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Niacinamide,10% + 3% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Azelaic Acid(10%) + Green Tea Extract(3%) + Niacinamide(5%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
45+,Oily,Extreme Oily,Yes,Acne,Fungal,Green Tea Extract + Salicylic Acid + Niacinamide,3% + 2% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Salicylic Acid(2%) + Niacinamide(5%) -> Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Oily,Extreme Oily,Yes,Acne,Cystic,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,10% + 2.5% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production","Azelaic Acid(10%) + Benzoyl Peroxide(2.5%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
45+,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Caffeine + Hyaluronic Acid + Niacinamide,3% + 1% + 5%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Caffeine(3%) + Hyaluronic Acid(1%) + Niacinamide(5%) -> Reduces puffiness and improves circulation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
45+,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Vitamin C + Caffeine + Caffeine,10% + 3% + 3%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces puffiness and improves circulation","Vitamin C(10%) + Caffeine(3%) + Caffeine(3%) -> Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces puffiness and improves circulation"
45+,Oily,Extreme Oily,Yes,Dark Spots,General,Kojic Acid + Alpha Arbutin + Vitamin C,1% + 2% + 10%,"Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Kojic Acid(1%) + Alpha Arbutin(2%) + Vitamin C(10%) -> Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Oily,Extreme Oily,Yes,Dullness,General,Lactic Acid + Green Tea Extract + Niacinamide,3% + 5% + 1%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Lactic Acid(3%) + Green Tea Extract(5%) + Niacinamide(1%) -> Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
45+,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Alpha Arbutin,5% + 2% + 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots","Niacinamide(5%) + Tranexamic Acid(2%) + Alpha Arbutin(2%) -> Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots"
45+,Oily,Extreme Oily,Yes,Open Pores,General,Clay + Salicylic Acid + Azelaic Acid,2% + 10% + 1%,"Absorbs excess oil and tightens pores, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","Clay(2%) + Salicylic Acid(10%) + Azelaic Acid(1%) -> Absorbs excess oil and tightens pores, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Oily,Extreme Oily,Yes,Redness,General,Niacinamide + Aloe Vera + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Aloe Vera(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits"
45+,Oily,Extreme Oily,Yes,Sun Tan,General,Aloe Vera + Vitamin C + Licorice Extract,10% + 2% + 1%,"Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone","Aloe Vera(10%) + Vitamin C(2%) + Licorice Extract(1%) -> Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
45+,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Salicylic Acid + Zinc PCA,2% + 1% + 1%,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Controls sebum production","Glycolic Acid(2%) + Salicylic Acid(1%) + Zinc PCA(1%) -> Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Controls sebum production"
45+,Oily,Extreme Oily,Yes,Wrinkles,General,Retinol + Peptides + Coenzyme Q10,0.1% + 1% + 1%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair","Retinol(0.1%) + Peptides(1%) + Coenzyme Q10(1%) -> Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair"
45+,Oily,Extreme Oily,No,Acne,Comedonal,Zinc PCA + Green Tea Extract + Salicylic Acid,3% + 2% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","Zinc PCA(3%) + Green Tea Extract(2%) + Salicylic Acid(1%) -> Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
45+,Oily,Extreme Oily,No,Acne,Inflammatory,Zinc PCA + Niacinamide + Green Tea Extract,5% + 3% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","Zinc PCA(5%) + Niacinamide(3%) + Green Tea Extract(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
45+,Oily,Extreme Oily,No,Acne,Fungal,Green Tea Extract + Azelaic Acid + Zinc PCA,3% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Controls sebum production","Green Tea Extract(3%) + Azelaic Acid(10%) + Zinc PCA(1%) -> Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Controls sebum production"
45+,Oily,Extreme Oily,No,Acne,Cystic,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,2% + 3% + 2.5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","Salicylic Acid(2%) + Green Tea Extract(3%) + Benzoyl Peroxide(2.5%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
45+,Oily,Extreme Oily,No,Dark Circles,Pigmented,Caffeine + Vitamin C + Hyaluronic Acid,3% + 10% + 1%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin","Caffeine(3%) + Vitamin C(10%) + Hyaluronic Acid(1%) -> Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
45+,Oily,Extreme Oily,No,Dark Circles,Vascular,Caffeine + Licorice Extract + Hyaluronic Acid,3% + 2% + 1%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Hydrates and plumps the skin","Caffeine(3%) + Licorice Extract(2%) + Hyaluronic Acid(1%) -> Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
